cluster_id,latitud,longitud,alcaldia_comun,categoria_comun,calle_cercana
0,19.338324524118022,-99.21165280544814,ALVARO OBREGON,DELITO DE BAJO IMPACTO,"Avenida Rómulo O'Farril, Olivar de los Padres, Ciudad de México, Álvaro Obregón, Ciudad de México, 01780, México"
1,19.433715171570817,-99.13370890942296,CUAUHTEMOC,DELITO DE BAJO IMPACTO,"Centro, Ciudad de México, Cuauhtémoc, Ciudad de México, 06060, México"
2,19.296030846800583,-99.04913406477988,TLAHUAC,DELITO DE BAJO IMPACTO,"Calle Arabella, Colonia Agrícola Metropolitana, Ciudad de México, Tláhuac, Ciudad de México, 13200, México"
3,19.29293719763776,-99.12920927263137,TLALPAN,DELITO DE BAJO IMPACTO,"Avenida Altillo, Unidad Habitacional Narciso Mendoza 5 Villa Coapa, Ciudad de México, Tlalpan, Ciudad de México, 14390, México"
4,19.39656969632905,-99.16304778806584,BENITO JUAREZ,DELITO DE BAJO IMPACTO,"Xola, Colonia Del Valle, Ciudad de México, Benito Juárez, Ciudad de México, 03103, México"
5,19.438349729139617,-99.2030629481497,MIGUEL HIDALGO,DELITO DE BAJO IMPACTO,"tuux kabin ejercito, 880, Avenida Ejército Nacional Mexicano, Polanco 2ª Sección, Ciudad de México, Miguel Hidalgo, Ciudad de México, 11530, México"
6,19.48856279198954,-99.08826579545584,GUSTAVO A. MADERO,DELITO DE BAJO IMPACTO,"Calle 319, Unidad Habitacional El Coyol, Ciudad de México, Gustavo A. Madero, Ciudad de México, 07420, México"
7,19.408378638892415,-99.0683635662582,IZTACALCO,DELITO DE BAJO IMPACTO,"Privada Iztacalco, Colonia Agrícola Pantitlán, Ciudad de México, Iztacalco, Ciudad de México, 08100, México"
8,19.549917787396186,-99.14068936901673,GUSTAVO A. MADERO,DELITO DE BAJO IMPACTO,"Calle Allende, Colonia Valle de Madero, Ciudad de México, Gustavo A. Madero, Ciudad de México, 07190, México"
9,19.515941353966554,-99.15065351557956,GUSTAVO A. MADERO,DELITO DE BAJO IMPACTO,"Calle Uranio, Colonia Nueva Industrial Vallejo Norte, Ciudad de México, Gustavo A. Madero, Ciudad de México, 07700, México"
10,19.361186477133316,-99.11108026011755,IZTAPALAPA,ROBO A REPARTIDOR CON Y SIN VIOLENCIA,"1859, Calle Subteniente Mario Fernando López Portillo, Colonia Escuadrón 201, Ciudad de México, Iztapalapa, Ciudad de México, 09060, México"
11,19.214413527886514,-98.99181509802055,MILPA ALTA,DELITO DE BAJO IMPACTO,"Escuela primaria Rosa Villanueva, Calle Hermenegildo Galeana, San Antonio Tecómitl, Don Diegoco, San Antonio Tecómitl, Milpa Alta, Ciudad de México, 12100, México"
12,19.358042324843428,-99.28576598426712,CUAJIMALPA DE MORELOS,DELITO DE BAJO IMPACTO,"Lomas de Memetla, Ciudad de México, Cuajimalpa de Morelos, Ciudad de México, 05330, México"
13,19.245917128947603,-99.07721086666174,XOCHIMILCO,DELITO DE BAJO IMPACTO,"Avenida México, Santa Cruz Acalpixca, Ciudad de México, Xochimilco, Ciudad de México, 16500, México"
14,19.336612718998275,-99.0363123771923,IZTAPALAPA,DELITO DE BAJO IMPACTO,"Calle Justo Sierra, Santa Cruz Meyehualco, Ciudad de México, Iztapalapa, Ciudad de México, 09700, México"
